chunk_id,article_filename,word_count,backend,model,claim,grounds,warrant,bucket,parse_error,raw_response_excerpt
15,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,993,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
16,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,992,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
17,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,559,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
18,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,966,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
19,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
20,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,989,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
21,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,998,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
22,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,977,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
23,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,993,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
24,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,986,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
25,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,712,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
26,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,979,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
27,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
28,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,629,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
29,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,971,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
30,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,955,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
31,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,971,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
32,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,892,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
33,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,995,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
34,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,999,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
35,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,1000,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
36,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,970,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
37,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,988,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
38,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,982,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
39,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,995,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
40,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
41,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,173,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
42,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,998,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
43,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,996,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
44,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,993,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
45,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,980,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
46,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,998,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
47,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,995,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
48,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,983,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
49,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,993,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
50,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,991,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
51,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,1000,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
52,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,999,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
53,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,982,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
54,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,134,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
55,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,996,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
56,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,966,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
57,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,968,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
58,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,989,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
59,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,995,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
60,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
61,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,978,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
62,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
63,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,974,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
64,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,974,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
65,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,961,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
66,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,992,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
67,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,998,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
68,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,994,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
69,Hey--what-did-you-expect---Confirmation-bias-in-c_2026_Journal-of-Behavioral.pdf,232,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
70,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,977,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
71,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
72,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,997,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
73,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,992,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
74,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,959,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
75,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,980,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
76,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,999,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
77,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,927,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
78,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,999,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
79,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,996,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
80,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,991,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
81,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,987,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
82,Legal-reforms--norms--and-child-marriage--observa_2026_Journal-of-Behavioral.pdf,978,openai,gpt-4o,,,,least_probable,"Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-.... You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",
