chunk_id,article_filename,word_count,backend,model,claim,grounds,warrant,bucket,parse_error,raw_response_excerpt,mnli_entailment_prob,mnli_entailment_pass
16,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,992,openai,gpt-4o,The impact of higher education expansion on educational assortative mating in non-Chinese contexts is not well understood.,Impacts of China ’ s higher education expansion in the late 1990s. Higher education expansion and supply of teachers in China.,"The text focuses on the effects of higher education expansion in China, suggesting a gap in understanding how similar expansions might affect educational assortative mating in other countries.",more_probable,,"{""claim"":""The impact of higher education expansion on educational assortative mating in non-Chinese contexts is not well understood."",""grounds"":""Impacts of China ’ s higher education expansion in the late 1990s. Higher education expansion and supply of teachers in China."",""warrant"":""The text focuses on the effects of higher education expansion in China, suggesting a gap in understanding how similar expansions might affect educational assortative mating in other countries."",""bucket"":""more_probable""}",0.9463409781455994,True
17,Does-college-education-make-women-less-likely-to-_2025_Journal-of-Behavioral.pdf,559,openai,gpt-4o,The impact of educational expansion on gender differences in marriage matching in China is not fully understood.,Skill complementarities and returns to higher education: Evidence from college enrollment expansion in China. Unobserved endowments and gender differences in marriage matching.,"The text references studies on education expansion and gender differences in marriage, suggesting a potential link that is not explicitly explored or explained.",more_probable,,"{""claim"":""The impact of educational expansion on gender differences in marriage matching in China is not fully understood."",""grounds"":""Skill complementarities and returns to higher education: Evidence from college enrollment expansion in China. Unobserved endowments and gender differences in marriage matching."",""warrant"":""The text references studies on education expansion and gender differences in marriage, suggesting a potential link that is not explicitly explored or explained."",""bucket"":""more_probable""}",0.6766486167907715,True
18,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,966,openai,gpt-4o,The long-term effects of cultural integration on merger success beyond the experimental timeframe are unknown.,Cultural integration is not immediate but evolves over time and is central to achieving merger synergies.,"The study focuses on cultural integration within the experimental setup, but does not address how these integrations persist or change in the long term beyond the observed period.",more_probable,,"{""claim"":""The long-term effects of cultural integration on merger success beyond the experimental timeframe are unknown."",""grounds"":""Cultural integration is not immediate but evolves over time and is central to achieving merger synergies."",""warrant"":""The study focuses on cultural integration within the experimental setup, but does not address how these integrations persist or change in the long term beyond the observed period."",""bucket"":""more_probable""}",0.8725835084915161,True
19,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,997,openai,gpt-4o,The specific mechanisms through which cultural integration impacts post-merger performance remain unclear.,"Despite these early challenges, the literature suggests that conflicts tend to resolve over time, paving the way for the emergence of a new organizational culture, contingent on effective and timely communication between the merging entities.","While the text suggests that cultural integration leads to improved performance, it does not detail the exact processes or mechanisms by which this integration translates into performance outcomes.",more_probable,,"{""claim"":""The specific mechanisms through which cultural integration impacts post-merger performance remain unclear."",""grounds"":""Despite these early challenges, the literature suggests that conflicts tend to resolve over time, paving the way for the emergence of a new organizational culture, contingent on effective and timely communication between the merging entities."",""warrant"":""While the text suggests that cultural integration leads to improved performance, it does not detail the exact processes or mechanisms by which this integration translates into performance outcomes."",""bucket"":""more_probable""}",0.9482657313346864,True
20,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,989,openai,gpt-4o,The impact of pre-merger cultural differences on post-merger synergy realization is not fully understood.,merging them introduced conflicts in the homemade languages,"The text describes cultural conflicts arising from merging groups with distinct pre-merger cultures, suggesting that these differences could affect synergy realization, but does not explore this impact in detail.",more_probable,,"{""claim"":""The impact of pre-merger cultural differences on post-merger synergy realization is not fully understood."",""grounds"":""merging them introduced conflicts in the homemade languages"",""warrant"":""The text describes cultural conflicts arising from merging groups with distinct pre-merger cultures, suggesting that these differences could affect synergy realization, but does not explore this impact in detail."",""bucket"":""more_probable""}",0.909237027168274,True
21,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,998,openai,gpt-4o,The long-term effects of mergers on group performance beyond the observed post-merger rounds are unknown.,the average completion time becomes lower than that of the pre-merger sessions,"While the study shows performance recovery within the observed rounds, it does not address whether this improvement is sustained or further evolves beyond the experimental timeframe.",more_probable,,"{""claim"":""The long-term effects of mergers on group performance beyond the observed post-merger rounds are unknown."",""grounds"":""the average completion time becomes lower than that of the pre-merger sessions"",""warrant"":""While the study shows performance recovery within the observed rounds, it does not address whether this improvement is sustained or further evolves beyond the experimental timeframe."",""bucket"":""more_probable""}",0.7310099601745605,True
22,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,977,openai,gpt-4o,The specific factors influencing the rate of convergence and fluctuation magnitude in task completion times across different groups are not fully understood.,Each experimental group is allowed to have its own characteristics in terms of both the convergence level and the magnitude of fluctuations in completion times.,"The text acknowledges variability in convergence characteristics across groups but does not specify what causes these differences, indicating a gap in understanding the underlying factors.",more_probable,,"{""claim"":""The specific factors influencing the rate of convergence and fluctuation magnitude in task completion times across different groups are not fully understood."",""grounds"":""Each experimental group is allowed to have its own characteristics in terms of both the convergence level and the magnitude of fluctuations in completion times."",""warrant"":""The text acknowledges variability in convergence characteristics across groups but does not specify what causes these differences, indicating a gap in understanding the underlying factors."",""bucket"":""more_probable""}",0.8751755952835083,True
23,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,993,openai,gpt-4o,The impact of the iterative estimation procedure on the accuracy of parameter estimates is not fully understood.,"To circumvent the problem of estimating 142 parameters all at once using numerical optimizers, we separate the parameters into two groups and estimate them iteratively","The text describes a complex iterative estimation process to manage a large number of parameters, but does not address how this approach affects the precision or bias of the final estimates.",more_probable,,"{""claim"":""The impact of the iterative estimation procedure on the accuracy of parameter estimates is not fully understood."",""grounds"":""To circumvent the problem of estimating 142 parameters all at once using numerical optimizers, we separate the parameters into two groups and estimate them iteratively"",""warrant"":""The text describes a complex iterative estimation process to manage a large number of parameters, but does not address how this approach affects the precision or bias of the final estimates."",""bucket"":""more_probable""}",0.8904459476470947,True
25,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,712,openai,gpt-4o,The specific mechanisms by which pre-merger cultural differences impact post-merger outcomes remain unclear.,pre-merger cultural differences significantly impact merger outcomes,"While the text highlights the influence of pre-merger performance on post-merger success, it does not detail the underlying processes or mechanisms of this influence.",more_probable,,"{""claim"":""The specific mechanisms by which pre-merger cultural differences impact post-merger outcomes remain unclear."",""grounds"":""pre-merger cultural differences significantly impact merger outcomes"",""warrant"":""While the text highlights the influence of pre-merger performance on post-merger success, it does not detail the underlying processes or mechanisms of this influence."",""bucket"":""more_probable""}",0.8990089297294617,True
27,Pre-merger-performance-and-merger-success_2025_Journal-of-Behavioral-and-Exp.pdf,997,openai,gpt-4o,The impact of interpersonal effectiveness on cultural cohesion in underperforming teams is not yet empirically tested.,Investigating whether placing these individuals in underperforming teams leads to improved coordination and integration would offer practical guidance,"The text suggests a potential study but does not provide evidence or results, indicating a gap in empirical testing of this hypothesis.",more_probable,,"{""claim"":""The impact of interpersonal effectiveness on cultural cohesion in underperforming teams is not yet empirically tested."",""grounds"":""Investigating whether placing these individuals in underperforming teams leads to improved coordination and integration would offer practical guidance"",""warrant"":""The text suggests a potential study but does not provide evidence or results, indicating a gap in empirical testing of this hypothesis."",""bucket"":""more_probable""}",0.9002494215965271,True
30,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,955,openai,gpt-4o,The long-term effects of combining cognitive load and mindfulness meditation on heart rate and decision-making are unknown.,none of the previous studies has analyzed the combination of cognitive load and a one-time brief preventive mindfulness meditation on the heart rate as well as on risk and time attitudes within a controlled short-term laboratory setting,"The study focuses on short-term effects in a controlled setting, leaving the long-term impacts of these interventions unexplored.",more_probable,,"{""claim"":""The long-term effects of combining cognitive load and mindfulness meditation on heart rate and decision-making are unknown."",""grounds"":""none of the previous studies has analyzed the combination of cognitive load and a one-time brief preventive mindfulness meditation on the heart rate as well as on risk and time attitudes within a controlled short-term laboratory setting"",""warrant"":""The study focuses on short-term effects in a controlled setting, leaving the long-term impacts of these interventions unexplored."",""bucket"":""more_probable""}",0.8941900730133057,True
31,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,971,openai,gpt-4o,The long-term effects of mindfulness meditation on risk and time attitudes are unknown.,we expose subjects to either a one-time brief preventive mindfulness meditation or a neutral waiting period,"The study only examines immediate changes in attitudes following a single session, leaving the persistence of these effects over time untested.",more_probable,,"{""claim"":""The long-term effects of mindfulness meditation on risk and time attitudes are unknown."",""grounds"":""we expose subjects to either a one-time brief preventive mindfulness meditation or a neutral waiting period"",""warrant"":""The study only examines immediate changes in attitudes following a single session, leaving the persistence of these effects over time untested."",""bucket"":""more_probable""}",0.8552907705307007,True
32,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,892,openai,gpt-4o,The long-term effects of cognitive load on decision-making behavior are unknown.,This rapid response is useful for capturing the short-term physiological response,"The text focuses on immediate responses to cognitive load, leaving the impact on longer-term decision-making unaddressed.",more_probable,,"{""claim"":""The long-term effects of cognitive load on decision-making behavior are unknown."",""grounds"":""This rapid response is useful for capturing the short-term physiological response"",""warrant"":""The text focuses on immediate responses to cognitive load, leaving the impact on longer-term decision-making unaddressed."",""bucket"":""more_probable""}",0.8491048216819763,True
37,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,988,openai,gpt-4o,The precise impact of cognitive load on response times is unclear due to measurement in seconds rather than milliseconds.,"response times are measured in seconds, while they should be measured in milliseconds","The text acknowledges that measuring response times in seconds may not reveal precise results, suggesting a gap in accurately assessing the cognitive load's effect on response times.",more_probable,,"{""claim"":""The precise impact of cognitive load on response times is unclear due to measurement in seconds rather than milliseconds."",""grounds"":""response times are measured in seconds, while they should be measured in milliseconds"",""warrant"":""The text acknowledges that measuring response times in seconds may not reveal precise results, suggesting a gap in accurately assessing the cognitive load's effect on response times."",""bucket"":""more_probable""}",0.9835259914398192,True
40,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,997,openai,gpt-4o,The specific mechanisms by which cognitive load influences economic decision-making remain unclear.,The effect of cognitive load on economic decision making: A survey and new experiments,"The text references studies on cognitive load and decision-making but does not detail the underlying mechanisms, suggesting a gap in understanding how cognitive load specifically affects economic choices.",more_probable,,"{""claim"":""The specific mechanisms by which cognitive load influences economic decision-making remain unclear."",""grounds"":""The effect of cognitive load on economic decision making: A survey and new experiments"",""warrant"":""The text references studies on cognitive load and decision-making but does not detail the underlying mechanisms, suggesting a gap in understanding how cognitive load specifically affects economic choices."",""bucket"":""more_probable""}",0.975217342376709,True
41,The-effects-of-cognitive-load-and-mindfulness-m_2025_Journal-of-Behavioral-a.pdf,173,openai,gpt-4o,The specific impact of daily stressors on food choices among low-SES mothers remains unclear.,Daily stressors and food choices: A lab experiment with low-SES mothers.,"The text mentions a study on stressors and food choices but does not detail the outcomes or mechanisms, leaving the specific impact unexplored.",more_probable,,"{""claim"":""The specific impact of daily stressors on food choices among low-SES mothers remains unclear."",""grounds"":""Daily stressors and food choices: A lab experiment with low-SES mothers."",""warrant"":""The text mentions a study on stressors and food choices but does not detail the outcomes or mechanisms, leaving the specific impact unexplored."",""bucket"":""more_probable""}",0.9912494421005248,True
43,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,996,openai,gpt-4o,"The specific mechanism of Justified Dishonesty, such as 'shuffling' rolls, lacks empirical evidence.","there is currently no evidence on the specific mechanism of Justified Dishonesty, i.e. that subjects ‘‘shuffle’’ rolls when it pays to do so","The text explicitly states the absence of evidence for the mechanism that is central to the theory, indicating a gap in understanding how Justified Dishonesty operates in practice.",more_probable,,"{""claim"":""The specific mechanism of Justified Dishonesty, such as 'shuffling' rolls, lacks empirical evidence."",""grounds"":""there is currently no evidence on the specific mechanism of Justified Dishonesty, i.e. that subjects ‘‘shuffle’’ rolls when it pays to do so"",""warrant"":""The text explicitly states the absence of evidence for the mechanism that is central to the theory, indicating a gap in understanding how Justified Dishonesty operates in practice."",""bucket"":""more_probable""}",0.9886218905448914,True
44,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,993,openai,gpt-4o,The specific mechanism of Justified Dishonesty is not fully supported by empirical data on mean claims from multiple rolls.,"Observing multiple rolls appears to increase the average report in the available data, but not by enough to be consistent with Justified Dishonesty’s specific mechanism.","The text indicates that while multiple rolls increase average reports, they do not align with the predicted outcomes of the Justified Dishonesty mechanism, suggesting a gap in understanding or application of the mechanism.",more_probable,,"{""claim"":""The specific mechanism of Justified Dishonesty is not fully supported by empirical data on mean claims from multiple rolls."",""grounds"":""Observing multiple rolls appears to increase the average report in the available data, but not by enough to be consistent with Justified Dishonesty’s specific mechanism."",""warrant"":""The text indicates that while multiple rolls increase average reports, they do not align with the predicted outcomes of the Justified Dishonesty mechanism, suggesting a gap in understanding or application of the mechanism."",""bucket"":""more_probable""}",0.9536948204040528,True
45,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,980,openai,gpt-4o,The specific mechanisms that differentiate Justified Dishonesty from other models remain untested.,examining first roll reports is not sufficient to distinguish between models,"The text indicates that current methods do not adequately test the unique mechanisms of Justified Dishonesty, suggesting a gap in understanding how it differs from other models.",more_probable,,"{""claim"":""The specific mechanisms that differentiate Justified Dishonesty from other models remain untested."",""grounds"":""examining first roll reports is not sufficient to distinguish between models"",""warrant"":""The text indicates that current methods do not adequately test the unique mechanisms of Justified Dishonesty, suggesting a gap in understanding how it differs from other models."",""bucket"":""more_probable""}",0.8963874578475952,True
46,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,998,openai,gpt-4o,The impact of foreknowledge of the second report on the switching strategy is not fully understood.,"By randomising foreknowledge of the second report, we can test whether it affects a switching strategy.","The text suggests that foreknowledge might influence the decision to switch rolls, but does not provide conclusive evidence on how this affects behavior, indicating an area that requires further exploration.",more_probable,,"{""claim"":""The impact of foreknowledge of the second report on the switching strategy is not fully understood."",""grounds"":""By randomising foreknowledge of the second report, we can test whether it affects a switching strategy."",""warrant"":""The text suggests that foreknowledge might influence the decision to switch rolls, but does not provide conclusive evidence on how this affects behavior, indicating an area that requires further exploration."",""bucket"":""more_probable""}",0.9333837032318116,True
47,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,995,openai,gpt-4o,The underlying mechanisms driving Justified Dishonesty in the absence of explicit justifications are not fully understood.,The results imply Justified Dishonesty is not an exclusive explanation for first roll behaviour which matches its predictions.,"The text suggests that Justified Dishonesty's predictions are met even without the expected justifications, indicating a gap in understanding the mechanisms at play.",more_probable,,"{""claim"":""The underlying mechanisms driving Justified Dishonesty in the absence of explicit justifications are not fully understood."",""grounds"":""The results imply Justified Dishonesty is not an exclusive explanation for first roll behaviour which matches its predictions."",""warrant"":""The text suggests that Justified Dishonesty's predictions are met even without the expected justifications, indicating a gap in understanding the mechanisms at play."",""bucket"":""more_probable""}",0.9440803527832032,True
49,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,993,openai,gpt-4o,The mechanisms driving the discrepancy between first and second roll behaviors under Justified Dishonesty are not fully understood.,we narrowly reject Justified Dishonesty as an accurate description of first roll reports at the 5% level... all four tests reject Justified Dishonesty’s direct corollary for second round reports,"The text indicates a mismatch between predicted and observed behaviors for both rolls, suggesting that the underlying reasons for this discrepancy are not yet clear.",more_probable,,"{""claim"":""The mechanisms driving the discrepancy between first and second roll behaviors under Justified Dishonesty are not fully understood."",""grounds"":""we narrowly reject Justified Dishonesty as an accurate description of first roll reports at the 5% level... all four tests reject Justified Dishonesty’s direct corollary for second round reports"",""warrant"":""The text indicates a mismatch between predicted and observed behaviors for both rolls, suggesting that the underlying reasons for this discrepancy are not yet clear."",""bucket"":""more_probable""}",0.9494889974594116,True
50,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,991,openai,gpt-4o,The specific conditions under which Justified Dishonesty might still hold true are not fully understood.,"A possible flaw in our approach is that we take the original Justified Dishonesty literature at its word. It may be more informative to take it ‘seriously, not literally’.","The text suggests that while the literal predictions of Justified Dishonesty are rejected, there may be nuanced conditions or interpretations where the theory could still be relevant, indicating a gap in understanding these conditions.",more_probable,,"{""claim"":""The specific conditions under which Justified Dishonesty might still hold true are not fully understood."",""grounds"":""A possible flaw in our approach is that we take the original Justified Dishonesty literature at its word. It may be more informative to take it ‘seriously, not literally’."",""warrant"":""The text suggests that while the literal predictions of Justified Dishonesty are rejected, there may be nuanced conditions or interpretations where the theory could still be relevant, indicating a gap in understanding these conditions."",""bucket"":""more_probable""}",0.7749245762825012,True
51,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,1000,openai,gpt-4o,The influence of eliciting a second report on the validity of Justified Dishonesty predictions is unclear.,first reports are 0.520 higher in the two screen treatment...First roll behaviour in that treatment is further away from the Justified Dishonesty predictions,"The text suggests that the design of the experiment, specifically the elicitation of a second report, may affect the outcomes related to Justified Dishonesty, but it does not conclusively determine how this affects the validity of the predictions.",more_probable,,"{""claim"":""The influence of eliciting a second report on the validity of Justified Dishonesty predictions is unclear."",""grounds"":""first reports are 0.520 higher in the two screen treatment...First roll behaviour in that treatment is further away from the Justified Dishonesty predictions"",""warrant"":""The text suggests that the design of the experiment, specifically the elicitation of a second report, may affect the outcomes related to Justified Dishonesty, but it does not conclusively determine how this affects the validity of the predictions."",""bucket"":""more_probable""}",0.9528208374977112,True
52,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,999,openai,gpt-4o,The specific mechanisms by which control rolls influence lying behavior remain unclear.,control rolls do appear to slightly increase average lying behaviour in the available data,"The text suggests an effect of control rolls on lying behavior but does not clarify the underlying mechanisms, indicating a gap in understanding how these rolls influence behavior.",more_probable,,"{""claim"":""The specific mechanisms by which control rolls influence lying behavior remain unclear."",""grounds"":""control rolls do appear to slightly increase average lying behaviour in the available data"",""warrant"":""The text suggests an effect of control rolls on lying behavior but does not clarify the underlying mechanisms, indicating a gap in understanding how these rolls influence behavior."",""bucket"":""more_probable""}",0.971966564655304,True
53,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,982,openai,gpt-4o,The specific mechanisms by which control rolls lower cheating costs remain unclear.,control rolls and whether the game has multiple rounds seem to affect lying costs without introducing new confounds,"The text suggests that control rolls influence lying behavior by lowering cheating costs, but does not specify the exact mechanisms behind this effect, indicating a gap in understanding.",more_probable,,"{""claim"":""The specific mechanisms by which control rolls lower cheating costs remain unclear."",""grounds"":""control rolls and whether the game has multiple rounds seem to affect lying costs without introducing new confounds"",""warrant"":""The text suggests that control rolls influence lying behavior by lowering cheating costs, but does not specify the exact mechanisms behind this effect, indicating a gap in understanding."",""bucket"":""more_probable""}",0.981165647506714,True
54,Dishonesty-and-justifications--Evidence-fro_2026_Journal-of-Behavioral-and-E.pdf,134,openai,gpt-4o,The reliability of findings in dishonesty research is uncertain due to evidence of fraud and the need for replication.,Evidence of fraud in an influential field experiment about dishonesty. Two preregistered direct replications. Registered replication report.,"The mention of fraud and multiple replications suggests that previous findings may be unreliable, indicating a gap in confirming the robustness of results in dishonesty research.",more_probable,,"{""claim"":""The reliability of findings in dishonesty research is uncertain due to evidence of fraud and the need for replication."",""grounds"":""Evidence of fraud in an influential field experiment about dishonesty. Two preregistered direct replications. Registered replication report."",""warrant"":""The mention of fraud and multiple replications suggests that previous findings may be unreliable, indicating a gap in confirming the robustness of results in dishonesty research."",""bucket"":""more_probable""}",0.9611276984214784,True
