model,iter,P,R,F1
GPT-4o,46,0.8482142857142857,0.8796296296296297,0.8636363636363636
GPT-4o,47,0.8287037037037037,0.8647342995169082,0.8463356973995272
GPT-4o,48,0.7641921397379913,0.8706467661691543,0.813953488372093
GPT-4o,49,0.8304347826086956,0.9009433962264151,0.8642533936651583
GPT-4o,50,0.8434782608695652,0.941747572815534,0.8899082568807339
GPT-4o,51,0.8427947598253275,0.9368932038834952,0.8873563218390805
GPT-4o,52,0.8283261802575107,0.9234449760765551,0.8733031674208145
GPT-4o,53,0.8478260869565217,0.8823529411764706,0.8647450110864745
GPT-4o,54,0.8571428571428571,0.9574468085106383,0.9045226130653266
GPT-4o,55,0.8599033816425121,0.898989898989899,0.8790123456790124
GPT-4o,56,0.8214285714285714,0.8846153846153846,0.8518518518518519
GPT-4o,57,0.9146919431279621,0.8976744186046511,0.9061032863849766
GPT-4o,58,0.8389830508474576,0.9473684210526315,0.8898876404494382
GPT-4o,59,0.827433628318584,0.9121951219512195,0.8677494199535962
GPT-4o,60,0.8776371308016878,0.9285714285714286,0.9023861171366594
GPT-4o,61,0.8591549295774648,0.9104477611940298,0.8840579710144928
GPT-4o,62,0.8873239436619719,0.8217391304347826,0.853273137697517
GPT-4o,63,0.820627802690583,0.8926829268292683,0.8551401869158879
GPT-4o,64,0.9155555555555556,0.9321266968325792,0.9237668161434978
GPT-4o,65,0.8156862745098039,0.896551724137931,0.8542094455852156
GPT-4o,66,0.8430493273542601,0.8995215311004785,0.8703703703703705
GPT-4o,67,0.7857142857142857,0.9121951219512195,0.8442437923250564
GPT-4o,68,0.880184331797235,0.8967136150234741,0.8883720930232557
GPT-4o,69,0.8697478991596639,0.9039301310043668,0.886509635974304
GPT-4o,70,0.815668202764977,0.9267015706806283,0.8676470588235294
GPT-4o,71,0.8657407407407407,0.9033816425120773,0.8841607565011821
GPT-4o,72,0.8558558558558559,0.926829268292683,0.8899297423887589
GPT-4o,73,0.810126582278481,0.9014084507042254,0.8533333333333334
GPT-4o,74,0.905940594059406,0.905940594059406,0.905940594059406
GPT-4o,75,0.8552631578947368,0.8783783783783784,0.8666666666666667
GPT-4o,76,0.8414096916299559,0.9095238095238095,0.874141876430206
GPT-4o,77,0.8497652582159625,0.9095477386934674,0.8786407766990292
GPT-4o,78,0.8378378378378378,0.9393939393939394,0.8857142857142858
GPT-4o,79,0.8385650224215246,0.949238578680203,0.8904761904761904
GPT-4o,80,0.8317307692307693,0.8917525773195877,0.8606965174129353
GPT-4o,81,0.8057851239669421,0.9241706161137441,0.8609271523178808
GPT-4o,82,0.8472222222222222,0.9289340101522843,0.8861985472154963
GPT-4o,83,0.8679245283018868,0.92,0.8932038834951457
GPT-4o,84,0.7991452991452992,0.9166666666666666,0.8538812785388128
GPT-4o,85,0.8491379310344828,0.8454935622317596,0.8473118279569892
GPT-4o,86,0.8663594470046083,0.9591836734693877,0.910411622276029
GPT-4o,87,0.8663594470046083,0.9170731707317074,0.8909952606635071
GPT-4o,88,0.8348623853211009,0.9578947368421052,0.892156862745098
GPT-4o,89,0.8319327731092437,0.8918918918918919,0.8608695652173914
GPT-4o,90,0.8590909090909091,0.8957345971563981,0.877030162412993
GPT-4o,91,0.874439461883408,0.9512195121951219,0.9112149532710279
GPT-4o,92,0.8792270531400966,0.9381443298969072,0.9077306733167082
GPT-4o,93,0.8491379310344828,0.9471153846153846,0.8954545454545455
GPT-4o,94,0.8666666666666667,0.9330143540669856,0.8986175115207373
GPT-4o,95,0.8287037037037037,0.9132653061224489,0.8689320388349514
GPT-4o,96,0.8863636363636364,0.9330143540669856,0.9090909090909092
GPT-4o,97,0.8211009174311926,0.895,0.8564593301435406
GPT-4o,98,0.8904109589041096,0.8705357142857143,0.8803611738148984
GPT-4o,99,0.8565217391304348,0.9248826291079812,0.889390519187359
GPT-4o,100,0.8340807174887892,0.93,0.8794326241134753
GPT-4o,101,0.8540772532188842,0.9476190476190476,0.8984198645598195
GPT-4o,102,0.8271604938271605,0.9178082191780822,0.8701298701298701
GPT-4o,103,0.9049773755656109,0.8888888888888888,0.8968609865470852
GPT-4o,104,0.8872549019607843,0.923469387755102,0.9049999999999999
GPT-4o,105,0.8185840707964602,0.8980582524271845,0.8564814814814815
GPT-4o,106,0.8423423423423423,0.8779342723004695,0.8597701149425288
GPT-4o,107,0.8722466960352423,0.9473684210526315,0.9082568807339448
GPT-4o,108,0.8468468468468469,0.9261083743842364,0.8847058823529411
GPT-4o,109,0.8497854077253219,0.9428571428571428,0.893905191873589
GPT-4o,110,0.8772727272727273,0.8894009216589862,0.8832951945080092
GPT-4o,111,0.8294930875576036,0.9278350515463918,0.875912408759124
GPT-4o,112,0.8181818181818182,0.883177570093458,0.849438202247191
GPT-4o,113,0.8245614035087719,0.9261083743842364,0.8723897911832945
GPT-4o,114,0.8201754385964912,0.8947368421052632,0.8558352402745997
GPT-4o,115,0.8185483870967742,0.9103139013452914,0.861995753715499
GPT-4o,116,0.8558558558558559,0.8755760368663594,0.8656036446469249
GPT-4o,117,0.8687782805429864,0.8571428571428571,0.8629213483146068
GPT-4o,118,0.8820754716981132,0.9303482587064676,0.9055690072639226
GPT-4o,119,0.8571428571428571,0.9251101321585903,0.8898305084745762
GPT-4o,120,0.8808510638297873,0.9324324324324325,0.9059080962800876
GPT-4o,121,0.9023255813953488,0.941747572815534,0.9216152019002375
GPT-4o,122,0.8441558441558441,0.8904109589041096,0.8666666666666666
GPT-4o,123,0.8448275862068966,0.9468599033816425,0.8929384965831435
GPT-4o,124,0.8589211618257261,0.9324324324324325,0.8941684665226781
GPT-4o,125,0.851063829787234,0.9389671361502347,0.8928571428571428
GPT-4o,126,0.8493150684931506,0.8732394366197183,0.861111111111111
GPT-4o,127,0.8396624472573839,0.9004524886877828,0.8689956331877728
GPT-4o,128,0.8767123287671232,0.9014084507042254,0.8888888888888888
GPT-4o,129,0.8425925925925926,0.914572864321608,0.8771084337349397
GPT-4o,130,0.8807339449541285,0.9056603773584906,0.8930232558139536
GPT-4o,131,0.793859649122807,0.8743961352657005,0.8321839080459771
GPT-4o,132,0.8108108108108109,0.9230769230769231,0.8633093525179857
GPT-4o,133,0.8744186046511628,0.8952380952380953,0.8847058823529412
GPT-4o,134,0.8311111111111111,0.949238578680203,0.8862559241706162
GPT-4o,135,0.820627802690583,0.9631578947368421,0.8861985472154964
GPT-4o,136,0.8642533936651584,0.880184331797235,0.8721461187214613
GPT-4o,137,0.868995633187773,0.9299065420560748,0.8984198645598195
GPT-4o,138,0.8883720930232558,0.8967136150234741,0.8925233644859814
GPT-4o,139,0.8355555555555556,0.8663594470046083,0.8506787330316742
GPT-4o,140,0.8571428571428571,0.8918918918918919,0.8741721854304636
GPT-4o,141,0.8818181818181818,0.9282296650717703,0.9044289044289043
GPT-4o,142,0.8571428571428571,0.9705882352941176,0.9103448275862068
GPT-4o,143,0.8303571428571429,0.9393939393939394,0.8815165876777252
GPT-4o,144,0.9192825112107623,0.9490740740740741,0.9339407744874715
GPT-4o,145,0.8820754716981132,0.8947368421052632,0.8883610451306414
GPT-4o,146,0.8947368421052632,0.9147982062780269,0.9046563192904656
GPT-4o,147,0.8275862068965517,0.9365853658536586,0.8787185354691076
GPT-4o,148,0.7991452991452992,0.8617511520737328,0.8292682926829268
GPT-4o,149,0.9113300492610837,0.9585492227979274,0.9343434343434343
GPT-4o,150,0.8546255506607929,0.8899082568807339,0.8719101123595505
GPT-4o,151,0.8325991189427313,0.9,0.8649885583524028
GPT-4o,152,0.8642533936651584,0.9052132701421801,0.8842592592592594
GPT-4o,153,0.8725490196078431,0.9222797927461139,0.8967254408060453
GPT-4o,154,0.8620689655172413,0.8838383838383839,0.8728179551122195
GPT-4o,155,0.8225108225108225,0.926829268292683,0.8715596330275229
GPT-4o,156,0.8807339449541285,0.909952606635071,0.895104895104895
GPT-4o,157,0.777292576419214,0.9081632653061225,0.8376470588235294
GPT-4o,158,0.8438818565400844,0.9090909090909091,0.87527352297593
GPT-4o,159,0.8317757009345794,0.89,0.8599033816425121
GPT-4o,160,0.8114035087719298,0.9296482412060302,0.8665105386416863
GPT-4o,161,0.8165938864628821,0.9211822660098522,0.8657407407407407
GPT-4o,162,0.8596491228070176,0.9423076923076923,0.8990825688073394
GPT-4o,163,0.851063829787234,0.9216589861751152,0.8849557522123894
GPT-4o,164,0.8842592592592593,0.8642533936651584,0.8741418764302059
GPT-4o,165,0.8325581395348837,0.8905472636815921,0.8605769230769231
GPT-4o,166,0.9191919191919192,0.9430051813471503,0.9309462915601022
GPT-4o,167,0.883495145631068,0.9238578680203046,0.903225806451613
GPT-4o,168,0.8433179723502304,0.9336734693877551,0.8861985472154964
GPT-4o,169,0.8715596330275229,0.9405940594059405,0.9047619047619048
GPT-4o,170,0.851063829787234,0.8888888888888888,0.8695652173913044
GPT-4o,171,0.8899082568807339,0.9150943396226415,0.9023255813953488
GPT-4o,172,0.8408163265306122,0.9279279279279279,0.8822269807280514
GPT-4o,173,0.8497652582159625,0.9141414141414141,0.8807785888077858
GPT-4o,174,0.8362831858407079,0.9264705882352942,0.8790697674418605
GPT-4o,175,0.875,0.9607843137254902,0.9158878504672897
GPT-4o,176,0.8693693693693694,0.9278846153846154,0.8976744186046512
GPT-4o,177,0.8878504672897196,0.8878504672897196,0.8878504672897196
GPT-4o,178,0.8530805687203792,0.9230769230769231,0.8866995073891626
GPT-4o,179,0.8461538461538461,0.8756218905472637,0.8606356968215159
GPT-4o,180,0.8217391304347826,0.8873239436619719,0.853273137697517
GPT-4o,181,0.9073170731707317,0.8857142857142857,0.8963855421686747
GPT-4o,182,0.8717948717948718,0.9230769230769231,0.8967032967032966
GPT-4o,183,0.8057851239669421,0.9241706161137441,0.8609271523178808
GPT-4o,184,0.8685446009389671,0.925,0.8958837772397094
GPT-4o,185,0.8571428571428571,0.9124423963133641,0.8839285714285714
GPT-4o,186,0.8738738738738738,0.9023255813953488,0.8878718535469108
GPT-4o,187,0.874439461883408,0.9241706161137441,0.8986175115207373
GPT-4o,188,0.827906976744186,0.8768472906403941,0.8516746411483254
GPT-4o,189,0.8925233644859814,0.9362745098039216,0.9138755980861245
GPT-4o,190,0.8401826484018264,0.8803827751196173,0.8598130841121495
GPT-4o,191,0.8222222222222222,0.9113300492610837,0.8644859813084111
GPT-4o,192,0.8678414096916299,0.9248826291079812,0.8954545454545454
GPT-4o,193,0.8558558558558559,0.8636363636363636,0.8597285067873303
GPT-4o,194,0.8290598290598291,0.9023255813953488,0.8641425389755011
GPT-4o,195,0.9223744292237442,0.9619047619047619,0.9417249417249418
GPT-4o,196,0.8733031674208145,0.919047619047619,0.8955916473317865
GPT-4o,197,0.9054054054054054,0.9178082191780822,0.9115646258503401
GPT-4o,198,0.8185654008438819,0.9556650246305419,0.8818181818181817
GPT-4o,199,0.9116279069767442,0.9032258064516129,0.9074074074074074
GPT-4o,200,0.8111587982832618,0.9356435643564357,0.8689655172413792
GPT-4o,201,0.9245283018867925,0.8990825688073395,0.9116279069767442
GPT-4o,202,0.8727272727272727,0.8767123287671232,0.8747152619589977
GPT-4o,203,0.8097345132743363,0.8672985781990521,0.8375286041189932
GPT-4o,204,0.8597285067873304,0.9313725490196079,0.8941176470588235
GPT-4o,205,0.8486238532110092,0.9390862944162437,0.8915662650602411
GPT-4o,206,0.8685446009389671,0.9487179487179487,0.9068627450980391
GPT-4o,207,0.8008298755186722,0.8894009216589862,0.8427947598253275
GPT-4o,208,0.8559322033898306,0.9181818181818182,0.8859649122807017
GPT-4o,209,0.8225108225108225,0.95,0.8816705336426914
GPT-4o,210,0.8532110091743119,0.8942307692307693,0.8732394366197184
GPT-4o,211,0.8597285067873304,0.9134615384615384,0.8857808857808859
GPT-4o,212,0.796812749003984,0.9569377990430622,0.8695652173913043
GPT-4o,213,0.8793969849246231,0.8495145631067961,0.8641975308641976
GPT-4o,214,0.863013698630137,0.8709677419354839,0.8669724770642202
GPT-4o,215,0.8564814814814815,0.9343434343434344,0.8937198067632851
GPT-4o,216,0.8488888888888889,0.9408866995073891,0.8925233644859812
GPT-4o,217,0.8227272727272728,0.923469387755102,0.8701923076923076
GPT-4o,218,0.8472222222222222,0.9242424242424242,0.8840579710144927
GPT-4o,219,0.8921568627450981,0.91,0.900990099009901
GPT-4o,220,0.8260869565217391,0.9144385026737968,0.8680203045685279
GPT-4o,221,0.8818181818181818,0.9023255813953488,0.8919540229885058
GPT-4o,222,0.8644859813084113,0.9343434343434344,0.8980582524271845
GPT-4o,223,0.8778280542986425,0.9023255813953488,0.8899082568807339
GPT-4o,224,0.7931034482758621,0.9064039408866995,0.8459770114942529
GPT-4o,225,0.8095238095238095,0.9396984924623115,0.8697674418604651
GPT-4o,226,0.8448275862068966,0.9423076923076923,0.890909090909091
GPT-4o,227,0.8122270742358079,0.8454545454545455,0.8285077951002227
GPT-4o,228,0.8584474885844748,0.94,0.8973747016706444
GPT-4o,229,0.8577981651376146,0.8577981651376146,0.8577981651376146
GPT-4o,230,0.8729508196721312,0.9181034482758621,0.8949579831932774
GPT-4o,231,0.8755760368663594,0.9223300970873787,0.8983451536643026
GPT-4o,232,0.8240740740740741,0.9035532994923858,0.8619854721549637
GPT-4o,233,0.8434782608695652,0.9107981220657277,0.8758465011286682
GPT-4o,234,0.9252336448598131,0.9565217391304348,0.9406175771971497
GPT-4o,235,0.8333333333333334,0.9313725490196079,0.8796296296296297
GPT-4o,236,0.8464730290456431,0.9622641509433962,0.9006622516556291
GPT-4o,237,0.8401826484018264,0.92,0.8782816229116945
GPT-4o,238,0.8356164383561644,0.9014778325123153,0.8672985781990522
GPT-4o,239,0.8899082568807339,0.919431279620853,0.9044289044289044
GPT-4o,240,0.8553191489361702,0.8170731707317073,0.8357588357588358
GPT-4o,241,0.8086124401913876,0.9441340782122905,0.8711340206185567
GPT-4o,242,0.8482142857142857,0.945273631840796,0.8941176470588235
GPT-4o,243,0.84688995215311,0.9315789473684211,0.8872180451127819
GPT-4o,244,0.8078602620087336,0.9390862944162437,0.8685446009389671
GPT-4o,245,0.8577777777777778,0.9278846153846154,0.8914549653579676
GPT-4o,246,0.8,0.9154228855721394,0.8538283062645012
GPT-4o,247,0.8528138528138528,0.8794642857142857,0.8659340659340659
GPT-4o,248,0.9013452914798207,0.8663793103448276,0.8835164835164836
GPT-4o,249,0.7816593886462883,0.8403755868544601,0.8099547511312217
GPT-4o,250,0.8356164383561644,0.9289340101522843,0.8798076923076923
GPT-4o,251,0.9018691588785047,0.9554455445544554,0.9278846153846154
GPT-4o,252,0.8617886178861789,0.8833333333333333,0.8724279835390947
GPT-4o,253,0.8364485981308412,0.9470899470899471,0.8883374689826303
GPT-4o,254,0.8113207547169812,0.9052631578947369,0.8557213930348259
GPT-4o,255,0.8497854077253219,0.8878923766816144,0.8684210526315789
GPT-4o,256,0.8245614035087719,0.8867924528301887,0.8545454545454546
GPT-4o,257,0.8025210084033614,0.9317073170731708,0.8623024830699774
GPT-4o,258,0.84375,0.9174757281553398,0.8790697674418605
GPT-4o,259,0.880184331797235,0.9271844660194175,0.9030732860520094
GPT-4o,260,0.8721461187214612,0.9408866995073891,0.9052132701421802
GPT-4o,261,0.8844444444444445,0.8614718614718615,0.8728070175438598
GPT-4o,262,0.7991071428571429,0.9086294416243654,0.8503562945368172
GPT-4o,263,0.8847926267281107,0.9142857142857143,0.8992974238875878
GPT-4o,264,0.8532110091743119,0.916256157635468,0.8836104513064132
GPT-4o,265,0.8371040723981901,0.9296482412060302,0.880952380952381
GPT-4o,266,0.8617886178861789,0.925764192139738,0.8926315789473686
GPT-4o,267,0.7974137931034483,0.9296482412060302,0.8584686774941995
GPT-4o,268,0.8657407407407407,0.9257425742574258,0.894736842105263
GPT-4o,269,0.8536585365853658,0.8974358974358975,0.875
GPT-4o,270,0.8333333333333334,0.9478672985781991,0.8869179600886917
GPT-4o,271,0.8660714285714286,0.9150943396226415,0.8899082568807338
GPT-4o,272,0.8669724770642202,0.875,0.870967741935484
GPT-4o,273,0.8381742738589212,0.905829596412556,0.8706896551724138
GPT-4o,274,0.8873239436619719,0.9174757281553398,0.9021479713603819
GPT-4o,275,0.9205607476635514,0.9120370370370371,0.9162790697674419
GPT-4o,276,0.8181818181818182,0.9043062200956937,0.859090909090909
GPT-4o,277,0.9038461538461539,0.912621359223301,0.9082125603864736
GPT-4o,278,0.8716814159292036,0.9162790697674419,0.8934240362811792
GPT-4o,279,0.8826291079812206,0.912621359223301,0.8973747016706445
GPT-4o,280,0.8648648648648649,0.9014084507042254,0.8827586206896552
GPT-4o,281,0.8640350877192983,0.8755555555555555,0.869757174392936
GPT-4o,282,0.8436018957345972,0.8725490196078431,0.8578313253012049
GPT-4o,283,0.8744186046511628,0.9353233830845771,0.9038461538461539
GPT-4o,284,0.8441558441558441,0.9112149532710281,0.8764044943820225
GPT-4o,285,0.8644859813084113,0.9390862944162437,0.9002433090024331
GPT-4o,286,0.8544600938967136,0.9528795811518325,0.900990099009901
GPT-4o,287,0.8564814814814815,0.9390862944162437,0.8958837772397094
GPT-4o,288,0.8783783783783784,0.8333333333333334,0.855263157894737
GPT-4o,289,0.8067226890756303,0.8930232558139535,0.8476821192052981
GPT-4o,290,0.909952606635071,0.9056603773584906,0.9078014184397164
GPT-4o,291,0.8266666666666667,0.9346733668341709,0.8773584905660378
GPT-4o,292,0.8818181818181818,0.9326923076923077,0.9065420560747663
GPT-4o,293,0.8695652173913043,0.9009009009009009,0.8849557522123894
GPT-4o,294,0.8423423423423423,0.8657407407407407,0.8538812785388128
GPT-4o,295,0.852017937219731,0.9223300970873787,0.8857808857808858
GPT-4o,296,0.8471615720524017,0.9509803921568627,0.8960739030023095
GPT-4o,297,0.8301886792452831,0.9312169312169312,0.8778054862842892
GPT-4o,298,0.8687782805429864,0.9186602870813397,0.8930232558139536
GPT-4o,299,0.8590308370044053,0.8863636363636364,0.87248322147651
GPT-4o,300,0.8942731277533039,0.8903508771929824,0.8923076923076922
GPT-4o,301,0.8597285067873304,0.9405940594059405,0.8983451536643027
GPT-4o,302,0.8975609756097561,0.9533678756476683,0.9246231155778895
GPT-4o,303,0.8632075471698113,0.8798076923076923,0.8714285714285714
GPT-4o,304,0.8036529680365296,0.9263157894736842,0.8606356968215159
GPT-4o,305,0.8616071428571429,0.919047619047619,0.8894009216589862
GPT-4o,306,0.8356164383561644,0.9242424242424242,0.8776978417266188
GPT-4o,307,0.8558951965065502,0.9245283018867925,0.888888888888889
GPT-4o,308,0.8648648648648649,0.9142857142857143,0.888888888888889
GPT-4o,309,0.8326180257510729,0.9556650246305419,0.8899082568807339
GPT-4o,310,0.902127659574468,0.925764192139738,0.9137931034482759
GPT-4o,311,0.8552631578947368,0.9069767441860465,0.8803611738148984
GPT-4o,312,0.8623853211009175,0.9038461538461539,0.8826291079812206
GPT-4o,313,0.8521739130434782,0.9074074074074074,0.8789237668161435
GPT-4o,314,0.8232558139534883,0.9619565217391305,0.887218045112782
GPT-4o,315,0.8325581395348837,0.9132653061224489,0.8710462287104623
GPT-4o,316,0.8914027149321267,0.9292452830188679,0.9099307159353349
GPT-4o,317,0.8375,0.9220183486238532,0.8777292576419214
GPT-4o,318,0.8461538461538461,0.9252336448598131,0.8839285714285714
GPT-4o,319,0.8281938325991189,0.9591836734693877,0.8888888888888888
GPT-4o,320,0.8732394366197183,0.9441624365482234,0.9073170731707317
GPT-4o,321,0.8333333333333334,0.9198113207547169,0.874439461883408
GPT-4o,322,0.8157894736842105,0.9346733668341709,0.8711943793911008
GPT-4o,323,0.8444444444444444,0.8755760368663594,0.8597285067873303
GPT-4o,324,0.852017937219731,0.8962264150943396,0.8735632183908046
GPT-4o,325,0.8440366972477065,0.9019607843137255,0.8720379146919431
GPT-4o,326,0.8421052631578947,0.909952606635071,0.8747152619589976
GPT-4o,327,0.8921568627450981,0.9054726368159204,0.8987654320987655
GPT-4o,328,0.8468085106382979,0.9255813953488372,0.8844444444444445
GPT-4o,329,0.8640350877192983,0.9205607476635514,0.8914027149321267
GPT-4o,330,0.8614718614718615,0.9567307692307693,0.9066059225512528
GPT-4o,331,0.8356807511737089,0.8599033816425121,0.8476190476190477
GPT-4o,332,0.788235294117647,0.9305555555555556,0.8535031847133757
GPT-4o,333,0.8504672897196262,0.9285714285714286,0.8878048780487805
GPT-4o,334,0.8952380952380953,0.9170731707317074,0.9060240963855423
GPT-4o,335,0.8553191489361702,0.8854625550660793,0.8701298701298702
GPT-4o,336,0.8616071428571429,0.9323671497584541,0.8955916473317865
GPT-4o,337,0.8333333333333334,0.893719806763285,0.8624708624708624
GPT-4o,338,0.8537735849056604,0.8786407766990292,0.8660287081339713
GPT-4o,339,0.8779342723004695,0.9211822660098522,0.8990384615384615
GPT-4o,340,0.8088888888888889,0.9191919191919192,0.8605200945626478
GPT-4o,341,0.8472222222222222,0.9242424242424242,0.8840579710144927
GPT-4o,342,0.8693693693693694,0.9278846153846154,0.8976744186046512
GPT-4o,343,0.8451327433628318,0.8761467889908257,0.8603603603603603
GPT-4o,344,0.8533333333333334,0.8888888888888888,0.8707482993197277
GPT-4o,345,0.8189655172413793,0.9359605911330049,0.8735632183908045
GPT-4o,346,0.8721461187214612,0.9182692307692307,0.8946135831381734
GPT-4o,347,0.8497652582159625,0.8829268292682927,0.8660287081339714
GPT-4o,348,0.8264840182648402,0.8916256157635468,0.8578199052132702
GPT-4o,349,0.831858407079646,0.8995215311004785,0.864367816091954
GPT-4o,350,0.9053497942386831,0.9322033898305084,0.918580375782881
GPT-4o,351,0.8873873873873874,0.9205607476635514,0.9036697247706422
GPT-4o,352,0.8601694915254238,0.9620853080568721,0.9082774049217003
GPT-4o,353,0.9,0.9174757281553398,0.9086538461538461
GPT-4o,354,0.8721461187214612,0.8842592592592593,0.8781609195402299
GPT-4o,355,0.861904761904762,0.8786407766990292,0.8701923076923077
GPT-4o,356,0.8207171314741036,0.9279279279279279,0.8710359408033826
GPT-4o,357,0.8934010152284264,0.9312169312169312,0.9119170984455959
GPT-4o,358,0.8577586206896551,0.9476190476190476,0.9004524886877828
GPT-4o,359,0.9036697247706422,0.8678414096916299,0.8853932584269663
GPT-4o,360,0.8638297872340426,0.8982300884955752,0.8806941431670282
GPT-4o,361,0.8666666666666667,0.914572864321608,0.8899755501222494
GPT-4o,362,0.868421052631579,0.9519230769230769,0.908256880733945
GPT-4o,363,0.817351598173516,0.927461139896373,0.8689320388349514
GPT-4o,364,0.8326693227091634,0.908695652173913,0.869022869022869
GPT-4o,365,0.8532110091743119,0.8732394366197183,0.8631090487238978
GPT-4o,366,0.8787878787878788,0.9354838709677419,0.90625
GPT-4o,367,0.8767123287671232,0.9365853658536586,0.9056603773584906
GPT-4o,368,0.885593220338983,0.8495934959349594,0.8672199170124482
GPT-4o,369,0.8558558558558559,0.9405940594059405,0.8962264150943395
GPT-4o,370,0.8248847926267281,0.9322916666666666,0.8753056234718827
GPT-4o,371,0.7863636363636364,0.9453551912568307,0.8585607940446649
GPT-4o,372,0.8427947598253275,0.8976744186046511,0.8693693693693694
GPT-4o,373,0.8828828828828829,0.9468599033816425,0.9137529137529138
GPT-4o,374,0.8530805687203792,0.9523809523809523,0.8999999999999999
GPT-4o,375,0.863013698630137,0.9593908629441624,0.9086538461538461
GPT-4o,376,0.8720379146919431,0.9019607843137255,0.8867469879518072
GPT-4o,377,0.874439461883408,0.9420289855072463,0.9069767441860465
GPT-4o,378,0.8157894736842105,0.9117647058823529,0.861111111111111
GPT-4o,379,0.8362831858407079,0.9310344827586207,0.8811188811188811
GPT-4o,380,0.8697674418604651,0.9077669902912622,0.8883610451306413
GPT-4o,381,0.8564814814814815,0.9203980099502488,0.8872901678657074
GPT-4o,382,0.9230769230769231,0.9411764705882353,0.9320388349514563
GPT-4o,383,0.8685446009389671,0.9585492227979274,0.9113300492610837
GPT-4o,384,0.8714285714285714,0.9242424242424242,0.8970588235294117
GPT-4o,385,0.8448275862068966,0.8672566371681416,0.8558951965065502
GPT-4o,386,0.822429906542056,0.8934010152284264,0.8564476885644767
GPT-4o,387,0.8598130841121495,0.863849765258216,0.8618266978922716
GPT-4o,388,0.9054054054054054,0.8739130434782608,0.8893805309734513
GPT-4o,389,0.8699551569506726,0.8699551569506726,0.8699551569506726
GPT-4o,390,0.8693693693693694,0.9061032863849765,0.8873563218390804
GPT-4o,391,0.8733624454148472,0.9216589861751152,0.8968609865470852
GPT-4o,392,0.8894009216589862,0.8577777777777778,0.8733031674208145
GPT-4o,393,0.825531914893617,0.8899082568807339,0.8565121412803532
